epoch,train_loss,train_acc,val_loss,val_acc,time
1,2.110645630455017,23.104,1.7593476236343384,34.55,20.675279140472412
2,1.652373494491577,39.088,1.5613429670333863,43.62,16.53778076171875
3,1.5079349125671386,44.888,1.4245106084823609,48.47,16.356443881988525
4,1.3886687718963624,49.676,1.322851516532898,51.51,16.564301013946533
5,1.3060689210510255,52.678,1.2356434328079224,55.12,16.587504386901855
6,1.2049218236541748,56.702,1.214333973503113,56.51,16.578420639038086
7,1.1818602558135987,57.542,1.1948279872894287,57.59,16.510302543640137
8,1.164779309539795,58.048,1.1955717546463012,57.58,16.593156099319458
9,1.1562012647247315,58.516,1.179037425994873,58.33,16.47521162033081
10,1.152570618019104,58.564,1.1805673469543456,58.22,16.5816912651062
