epoch,train_loss,train_acc,val_loss,val_acc,time
1,1.9795904381942748,27.474,1.7226139602661132,38.28,32.636497497558594
2,1.5530332023239135,43.302,1.4779663206100464,46.66,30.55633044242859
3,1.40552895652771,48.926,1.4260766626358032,49.41,30.667162895202637
4,1.322108106651306,52.072,1.2995364421844482,54.05,30.630021810531616
5,1.2397415999984742,55.336,1.208059992980957,57.75,30.67700695991516
6,1.1046058107376098,60.452,1.1220991767883302,60.33,30.73583960533142
7,1.077613632774353,61.476,1.1088125513076783,61.0,30.715497493743896
8,1.0591478812789916,62.278,1.1236941352844239,60.94,30.723238706588745
9,1.050364982776642,62.522,1.0985329080581665,61.46,30.74925422668457
10,1.04684436252594,62.608,1.0980961185455322,61.62,30.770286560058594
