epoch,train_loss,train_acc,val_loss,val_acc,time
1,65.95476128616333,9.826,2.3053021087646486,10.0,118.85787653923035
2,2.303504522628784,9.754,2.302806276321411,10.0,118.01027083396912
3,2.3028261849212646,10.044,2.3026874961853028,10.0,105.65720200538635
4,2.30283481590271,10.024,2.3027377670288085,10.0,107.78825831413269
5,2.3028734995269775,9.658,2.3027009773254394,10.0,113.46635794639587
6,2.302698353652954,10.0,2.302631282043457,10.0,120.28697085380554
7,2.302646541061401,10.0,2.3026025356292723,10.0,120.63894391059875
8,2.302621610870361,10.0,2.3025922691345215,10.0,107.24142122268677
9,2.3025939853668214,10.0,2.3025912418365477,10.0,114.34308123588562
10,2.302593184814453,10.0,2.3025906200408937,10.0,109.67253351211548
