epoch,train_loss,train_acc,val_loss,val_acc,time
1,39.15318229316711,9.998,2.30345060005188,10.0,184.8202624320984
2,2.3048237301635743,9.98,2.303440591049194,10.0,197.24372816085815
3,2.304567942123413,9.992,2.3067156608581545,10.0,225.595796585083
4,2.3046722355651856,9.886,2.305175551605225,10.0,184.73291683197021
5,2.3038296124267577,9.988,2.302830116653442,10.0,213.18261766433716
6,2.3028426568603515,9.848,2.3026210247039796,10.0,199.1878845691681
7,2.3027913234710695,9.826,2.3025987869262696,10.0,217.70557856559753
8,2.3027393798828126,10.002,2.3026896228790283,10.0,189.51178693771362
9,2.3026521686553956,10.0,2.3026031940460205,10.0,203.21898007392883
10,2.302608501281738,10.02,2.302591887283325,10.0,199.4954833984375
